Mouse: 1842, 160 | UIA: None | EW: PySide6.QtCore.QRect(1610, 117, 270, 210)
Mouse: 1840, 162 | UIA: None | EW: PySide6.QtCore.QRect(1610, 117, 270, 210)
Mouse: 1838, 164 | UIA: None | EW: PySide6.QtCore.QRect(1610, 117, 270, 210)
Mouse: 1836, 164 | UIA: None | EW: PySide6.QtCore.QRect(1610, 117, 270, 210)
Mouse: 1833, 165 | UIA: None | EW: PySide6.QtCore.QRect(1610, 117, 270, 210)
Mouse: 1832, 166 | UIA: None | EW: PySide6.QtCore.QRect(1610, 117, 270, 210)
Mouse: 1832, 166 | UIA: None | EW: PySide6.QtCore.QRect(1610, 117, 270, 210)
Mouse: 1828, 168 | UIA: None | EW: PySide6.QtCore.QRect(1610, 117, 270, 210)
Mouse: 1828, 168 | UIA: None | EW: PySide6.QtCore.QRect(1610, 117, 270, 210)
Mouse: 1827, 170 | UIA: None | EW: PySide6.QtCore.QRect(1610, 117, 270, 210)
Mouse: 1826, 170 | UIA: None | EW: PySide6.QtCore.QRect(1610, 117, 270, 210)
Mouse: 1826, 170 | UIA: None | EW: PySide6.QtCore.QRect(1610, 117, 270, 210)
Mouse: 1824, 170 | UIA: None | EW: PySide6.QtCore.QRect(1610, 117, 270, 210)
Mouse: 1822, 171 | UIA: None | EW: PySide6.QtCore.QRect(1610, 117, 270, 210)
Mouse: 1821, 172 | UIA: None | EW: PySide6.QtCore.QRect(1610, 117, 270, 210)
Mouse: 1820, 172 | UIA: None | EW: PySide6.QtCore.QRect(1610, 117, 270, 210)
Mouse: 1820, 172 | UIA: None | EW: PySide6.QtCore.QRect(1610, 117, 270, 210)
Mouse: 1820, 174 | UIA: None | EW: PySide6.QtCore.QRect(1610, 117, 270, 210)
Mouse: 1818, 174 | UIA: None | EW: PySide6.QtCore.QRect(1610, 117, 270, 210)
Mouse: 1816, 176 | UIA: None | EW: PySide6.QtCore.QRect(1610, 117, 270, 210)
Mouse: 1816, 176 | UIA: None | EW: PySide6.QtCore.QRect(1610, 117, 270, 210)
Mouse: 1815, 176 | UIA: None | EW: PySide6.QtCore.QRect(1610, 117, 270, 210)
Mouse: 1815, 176 | UIA: None | EW: PySide6.QtCore.QRect(1610, 117, 270, 210)
Mouse: 1814, 176 | UIA: None | EW: PySide6.QtCore.QRect(1610, 117, 270, 210)
Mouse: 1814, 177 | UIA: None | EW: PySide6.QtCore.QRect(1610, 117, 270, 210)
Mouse: 1030, 392 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1041, 388 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1062, 380 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1071, 376 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1088, 370 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1102, 368 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1116, 363 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1126, 362 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1138, 358 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1149, 358 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1152, 358 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1156, 358 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1162, 357 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1168, 356 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1176, 356 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1179, 354 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1182, 354 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1190, 352 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1192, 352 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1198, 352 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1208, 352 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1215, 352 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1224, 352 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1227, 354 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1234, 354 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1240, 356 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1244, 356 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1250, 356 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1252, 357 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1254, 357 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1256, 357 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1258, 357 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1262, 358 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1263, 358 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1264, 358 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1264, 358 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
Mouse: 1266, 358 | UIA: None | EW: PySide6.QtCore.QRect(828, 344, 874, 767)
